Título,Desenvolvedor,Publicador,Exclusivo,Europa,Japão,América Do Norte,Brasil
NBA Live 14,EA Tiburon,Electronic Arts,Não,2013,2014,2013,2013
NBA Live 16,EA Tiburon,Electronic Arts,Não,2016,2015,2015,2015
NBA Live 18,EA Tiburon,Electronic Arts,Não,2017,2017,2017,2017
NBA Live 19,EA Tiburon,Electronic Arts,Não,2018,2018,2018,2018
Need for Speed: Heat,Ghost Games,Electronic Arts,Não,2019,2019,2019,2019
Need for Speed: Rivals,Ghost Games,Electronic Arts,Não,2013,2014,2013,2013
NHL 16,EA Vancouver,EA Sports,Não,2015,2015,2015,2015
NHL 17,EA Vancouver,EA Sports,Não,2016,2016,2016,2016
NHL 18,EA Vancouver,EA Sports,Não,2017,2017,2017,2017
NHL 19,EA Vancouver,EA Sports,Não,2018,2018,2018,2018
NHL 20,EA Vancouver,EA Sports,Não,2019,2019,2019,2019
Nidhogg,Messhof,Messhof,Console,2014,2014,2014,2014
No Man's Sky,Hello Games,Hello Games,Não,2016,2016,2016,2016
Not a Hero,Roll7,Devolver Digital,Timed,2014,2014,2014,2014
Octodad: Dadliest Catch,"Young Horses, Inc","Young Horses, Inc",Console,2014,2014,2014,2014
OlliOlli,Roll7,Roll7,Console,2014,2014,2014,2014
One Piece: Burning Blood,Spike Chunsoft,Bandai Namco Games,Não,2016,2016,2016,2016
Os Cavaleiros do Zodíaco: Alma dos Soldados,Dimps,Bandai Namco Games,Não,2015,2015,2015,2015
Outlast,Red Barrels Studio,Red Barrels Studio,Console,2014,2014,2014,2014
Pavilion,Visiontrick Media,Visiontrick Media,Sony,2014,2014,2014,2014
Pro Evolution Soccer 2015,Konami,Konami,Não,2014,2014,2014,2014
Pro Evolution Soccer 2016,Konami,Konami,Não,2015,2015,2015,2015
Pro Evolution Soccer 2017,Konami,Konami,Não,2016,2016,2016,2016
Pro Evolution Soccer 2018,Konami,Konami,Não,2017,2017,2017,2017
Pro Evolution Soccer 2019,Konami,Konami,Não,2018,2018,2018,2018
Pro Evolution Soccer 2020,Konami,Konami,Não,2019,2019,2019,2019
PixelJunk Shooter Ultimate,Double Eleven Studios / Q-Games,Sony Computer Entertainment,Sony,2014,2014,2014,2014
Pier Solar HD,WaterMelon,WaterMelon,Não,2014,2014,2014,2014
Plants vs Zombies: Garden Warfare 2,PopCap Games,Eletronic Arts,Não,2016,ASA,2016,2016
Project CARS,Slightly Mad Studios,Slightly Mad Studios,Não,2015,2015,2015,2015
Project CARS 2,Slightly Mad Studios,Slightly Mad Studios,Não,2017,2017,2017,2017
Project Phoenix,Creative Intelligence Arts,Creative Intelligence Arts,Console,2014,2014,2014,2014
Race the Sun,Flippfly,Flippfly,Console,2014,2014,2014,2014
Red Dead Redemption 2,Rockstar Games,Rockstar Games,Não,2018,2018,2018,2018
Resident Evil: Revelations 2,Capcom,Capcom,Não,2015,2015,2015,2015
Resident Evil 4,Capcom,Capcom,Não,2016,2016,2016,2016
Resident Evil 5,Capcom,Capcom,Não,2016,2016,2016,2016
Resident Evil 6,Capcom,Capcom,Não,2016,2016,2016,2016
Resident Evil 7: Biohazard,Capcom,Capcom,Não,2017,2017,2017,2017
Resident Evil Origins Collection (R.E 0 e R.E 1),Capcom,Capcom,Não,2016,2016,2016,2016
Resogun,Housemarque,Sony Computer Entertainment,Sim,2013,2014,2013,2013
Ride,Milestone S.r.l.,Milestone S.r.l.,Não,2015,2015,2015,2015
Ride 2,Milestone S.r.l.,Milestone S.r.l.,Não,2017,2017,2017,2017
Ride 3,Milestone S.r.l.,Milestone S.r.l.,Não,2019,2019,2019,2019
Rogue Legacy,Cellar Door Games,Cellar Door Games,Console,2014,2014,2014,2014
Rugby 15,HB Studios,Bigben Interactive,Não,2014,2014,2014,2014
Scivelation,Black Wing Foundation,TopWare Interactive,Não,2014,2014,2014,2014
Secret Ponchos,Switchblade Monkeys,Switchblade Monkeys,Console,2014,2014,2014,2014
Shadow Warrior,Flying Wild Hog,Devolver Digital,Não,2014,2014,2014,2014
Sherlock Holmes: Crimes e Punishments,Frogwares,Focus Home Interactive,Não,2014,2014,2014,2014
Skulls of the Shogun: Bone-A-Fide Edition,17-BIT,17-BIT,Console,2014,2014,2014,2014
Skylanders: Swap Force,Vicarious Visions,Activision,Não,2013,2014,2013,2013
Sleeping Dogs: Triad Wars,United Front Games,Square Enix,Não,2014,2014,2014,2014
Sniper Elite 3,Rebellion Developments,505 Games,Não,2014,2014,2014,2014
Sniper: Ghost Warrior 3,CI Games,CI Games,Não,2017,2017,2017,2017
SOMA,Frictional Games,Frictional Games,Console,2015,2015,2015,2015
Soul Saga: Episode 1,Disastercake,Disastercake,Não,2014,2014,2014,2014
Sound Shapes,Queasy Games,Sony Computer Entertainment,Sony,2013,2014,2013,2013
Source,Fire Fenix,Fire Fenix,Não,2015,2015,2015,2015
Spelunky,Mossmouth,Mossmouth,Console,2014,2014,2014,2014
Sportsfriends,Die Gute Fabrik,Die Gute Fabrik,Console,2014,2014,2014,2014
Star Wars: Battlefront II,DICE,Electronic Arts / LucasArts,Não,2017,2017,2017,2017
Steamworld Dig,Image & Form,Image & Form,Console,2014,2014,2014,2014
Street Fighter V,Capcom,Capcom,Console,2016,2016,2016,2016
Strider,Double Helix Games,Capcom,Não,2014,2014,2014,2014
Super Motherload,XGen Studios,XGen Studios,Console,2013,2014,2013,2013
Tekken 7,Bandai Namco Entertainment,Bandai Namco Entertainment,Não,2017,2017,2017,2017
The Binding of Isaac: Rebirth,Nicalis,Nicalis,Não,2014,2014,2014,2014
The Crew,Ivory Tower,Ubisoft,Não,2014,2014,2014,2014
The Crew 2,Ivory Tower,Ubisoft,Não,2018,2018,2018,2018
The Elder Scrolls Online,ZeniMax Online Studios,Bethesda Softworks,Não,2014,2014,2014,2014
The Evil Within,Tango Gameworks,Bethesda Softworks,Não,2014,2014,2014,2014
The Evil Within 2,Tango Gameworks,Bethesda Softworks,Não,2017,2017,2017,2017
The Last Guardian,Team ICO / SCE Japan Studio,Sony Computer Entertainment,Sim,2016,2016,2016,2016
The Last of Us Remastered,Naughty Dog,Sony Computer Entertainment,Sim,2014,2014,2014,2014
The Order: 1886,Ready at Dawn SCE Santa Monica Studio,Sony Computer Entertainment,Sim,2015,2015,2015,2015
The Pinball Arcade,FarSight Studios,FarSight Studios,Não,2013,2014,2013,2013
The Swapper,Facepalm Games,Curve Studios,Console,2014,2014,2014,2014
The Witcher 3: Wild Hunt,CD Projekt RED,CD Projekt RED,Não,2015,2015,2015,2015
The Witness,"Thekla, Inc.","Thekla, Inc.",Timed,2016,2016,2016,2016
Thief,Eidos Montreal,Square Enix,Não,2014,2014,2014,2014
Tiny Brains,Spearhead Games,Spearhead Games,Console,2013,2014,2013,2013
Tom Clancy's The Division,Ubisoft Massive,Ubisoft,Não,2015,2015,2015,2015
Transformers: Rise of the Dark Spark,Edge of Reality,Activision,Não,2014,2014,2014,2014
Transistor,Supergiant Games,Supergiant Games,Console,2014,2014,2014,2014
Trials Fusion,RedLynx,Ubisoft,Não,2014,2014,2014,2014
Trine 2: Complete Story,Frozenbyte,Atlus,Não,2013,2014,2013,2013
Uncharted: The Nathan Drake Collection,Naughty Dog,Sony Computer Entertainment,Sim,2015,2015,2015,2015
Uncharted 4: A Thief's End,Naughty Dog,Sony Computer Entertainment,Sim,2016,2016,2016,2016
Valiant Hearts: The Great War,Ubisoft Montpellier,Ubisoft,Não,2014,2014,2014,2014
Velocity 2X,FuturLab,FuturLab,Sim,2014,2014,2014,2014
"Warhammer 40,000: Eternal Crusade",Behaviour Interactive,Behaviour Interactive,Não,2015,2015,2015,2015
Watch Dogs,Ubisoft Montreal Ubisoft Reflections Ubisoft Romania,Ubisoft,Não,2014,2014,2014,2014
Without Memory,Dinosaurum Games,Dinosaurum Games,Sim,2016,2016,2016,2016
Wolfenstein: The New Order,MachineGames,Bethesda Softworks,Não,2014,2014,2014,2014
WonderFlick,Level-5,Level-5,Não,2014,2014,2014,2014
WRC 5,Kylotonn Games,Bigben Interactive,Não,2015,2015,2015,2015
WRC 6,Kylotonn Games,Bigben Interactive,Não,2016,2016,2016,2016
WRC 7,Kylotonn Games,Bigben Interactive,Não,2017,2017,2017,2017
Worms Battlegrounds,Team17,Team17,Não,2014,2014,2014,2014
WWE 2K15,Yuke's/Visual Concepts,2K Sports,Não,2014,2014,2014,2014
WWE 2K16,Yuke's/Visual Concepts,2K Sports,Não,2015,2015,2015,2015
WWE 2K17,Yuke's/Visual Concepts,2K Sports,Não,2016,2016,2016,2016
WWE 2K18,Yuke's/Visual Concepts,2K Sports,Não,2017,2017,2017,2017
WWE 2K19,Yuke's/Visual Concepts,2K Sports,Não,2018,2018,2018,2018
WWE 2K20,Yuke's/Visual Concepts,2K Sports,Não,2019,2019,2019,2019
